alcool;drogue;preuve;nivetud;regle;durprison;age_an;origine;raison;job;durliberte
1;2;2;6;0;5;48;W;3;Y;26
2;2;1;9;3;28;22;W;1;Y;21
2;2;2;12;1;3;41;W;3;Y;13
1;2;4;3;0;15;47;W;3;N;4
2;2;1;9;1;6;18;W;3;N;8
2;2;1;9;1;75;23;W;1;Y;10
2;1;3;5;0;31;34;B;2;Y;57
2;2;2;8;0;12;21;W;3;N;24
2;2;1;9;0;11;27;B;2;N;17
2;2;2;9;7;34;22;B;1;Y;55
2;2;3;12;0;4;35;W;3;N;18
2;2;1;9;14;70;17;B;1;N;5
2;2;0;4;0;6;44;B;1;Y;24
2;2;2;9;1;45;23;B;1;Y;10
2;2;3;11;0;7;29;B;3;Y;28
2;2;1;6;4;143;32;B;2;Y;37
2;2;0;9;3;15;20;B;3;N;12
2;2;1;11;0;9;39;B;3;Y;32
2;2;0;9;0;17;18;W;3;N;3
1;2;0;11;0;7;47;B;3;N;69
1;2;3;3;0;19;55;B;3;Y;6
2;1;2;12;1;10;28;B;3;N;5
1;2;0;12;0;17;27;W;3;Y;25
1;2;4;9;1;7;50;W;3;Y;32
2;2;0;10;0;5;24;B;3;N;25
1;2;6;7;0;4;42;W;3;N;44
2;2;0;12;0;6;28;B;3;N;11
2;2;0;12;1;10;25;W;3;Y;2
2;2;1;9;0;14;21;W;1;Y;34
2;2;2;4;1;42;36;W;3;Y;24
2;2;0;11;3;7;19;B;3;N;11
2;1;0;11;1;8;27;B;1;N;24
2;2;0;8;0;7;23;B;3;Y;25
2;2;2;14;7;18;26;B;1;N;42
2;2;5;10;1;21;28;B;1;N;27
1;2;0;10;0;2;18;W;3;N;43
2;2;2;10;1;63;27;B;2;Y;22
2;2;0;10;0;13;23;B;3;Y;28
2;2;2;11;0;5;69;W;1;N;2
2;2;0;3;1;25;35;B;1;Y;18
2;1;0;10;1;19;24;B;3;N;19
2;2;1;12;0;18;27;W;3;N;21
2;2;0;9;1;6;17;W;3;N;20
2;2;0;11;1;4;24;B;3;N;49
2;1;8;7;0;5;45;W;3;Y;33
2;1;2;12;1;21;34;W;3;Y;19
2;2;0;12;0;18;27;B;1;N;35
1;1;2;10;6;57;22;W;3;Y;12
1;2;4;7;1;35;35;W;3;Y;2
2;2;1;10;5;27;21;B;1;N;6
2;2;0;10;1;19;20;B;3;N;9
2;2;0;9;0;46;25;B;3;Y;72
1;2;2;12;0;5;45;W;3;N;46
2;1;2;12;0;9;29;W;3;N;23
2;2;0;12;1;10;29;B;3;Y;23
2;2;2;10;0;34;26;B;1;N;14
2;2;0;11;0;9;20;B;3;N;46
2;2;1;10;0;7;29;B;3;N;7
1;2;4;12;1;20;35;B;1;Y;41
1;1;0;8;0;6;18;W;3;N;12
2;1;11;15;1;9;42;B;3;Y;19
2;2;0;9;2;48;23;B;1;Y;1
2;2;0;10;0;13;22;B;3;Y;24
2;2;1;11;0;45;26;B;2;N;62
2;2;1;12;3;32;24;W;1;Y;38
2;2;0;9;1;3;18;W;3;N;36
2;1;0;12;0;14;23;B;3;N;6
1;2;4;10;0;7;50;B;3;N;5
2;2;0;8;0;9;19;W;3;N;39
2;1;0;6;0;6;53;W;3;Y;59
2;2;1;4;0;93;24;B;1;Y;4
2;2;0;12;6;67;23;W;1;Y;10
2;2;0;10;2;12;20;B;3;N;14
2;2;2;8;8;44;20;W;3;N;7
2;1;0;8;2;33;26;W;1;Y;33
2;2;1;8;0;37;22;W;1;Y;23
2;2;1;10;4;20;20;W;1;Y;59
1;1;1;6;1;5;48;B;3;Y;23
2;2;0;3;11;43;30;B;2;Y;26
1;2;5;12;0;6;37;B;3;N;14
2;1;0;9;0;8;22;W;3;Y;20
2;2;1;12;0;6;33;W;3;Y;55
2;2;0;12;1;6;25;B;3;Y;46
1;2;0;10;0;6;20;W;3;N;43
2;2;6;9;0;5;45;B;3;Y;40
1;2;0;10;1;3;19;W;3;N;15
2;2;0;10;4;38;22;B;1;N;37
2;2;0;11;0;6;25;B;3;N;53
2;1;0;10;1;11;22;B;3;N;12
2;2;0;9;0;3;20;B;3;N;38
1;2;16;10;0;7;43;W;3;N;1
2;1;13;10;1;7;48;W;1;N;11
2;1;0;8;0;10;27;B;3;Y;35
1;1;4;9;3;16;25;B;3;N;4
2;2;2;12;1;25;32;B;3;Y;37
1;2;1;11;2;5;23;B;3;N;68
2;1;3;11;2;50;22;B;3;Y;14
2;2;0;9;0;10;20;W;3;N;67
2;2;0;12;4;12;20;W;3;N;20
1;2;0;8;1;8;19;W;3;N;16
2;1;0;8;2;16;22;W;1;N;42
2;2;1;11;1;13;27;B;3;Y;15
2;2;1;10;7;106;22;W;2;N;6
1;2;1;11;0;6;29;B;3;Y;27
2;1;2;6;0;4;36;W;3;Y;25
2;2;2;9;2;27;25;B;1;Y;7
2;2;1;11;0;4;30;W;3;N;67
1;1;0;10;0;19;20;W;1;N;5
2;2;3;11;1;6;28;B;3;Y;16
2;2;7;11;1;56;25;B;3;Y;18
2;1;3;8;1;6;23;B;3;N;23
2;1;2;12;1;13;46;W;3;Y;29
1;2;1;9;2;7;20;W;3;N;22
2;2;1;9;0;8;21;W;3;N;10
1;2;0;11;3;19;26;B;3;N;20
2;2;0;12;0;28;26;W;1;Y;27
2;2;0;9;6;14;22;B;3;N;21
2;1;0;11;1;23;27;B;1;Y;10
2;2;1;6;1;6;49;B;3;Y;53
1;2;1;10;7;134;25;B;1;Y;11
2;1;0;10;1;10;20;W;3;N;18
2;2;0;11;0;8;22;B;3;Y;45
2;2;0;11;1;19;22;B;1;N;14
2;1;0;12;0;7;20;W;3;Y;21
2;1;1;8;0;14;20;B;3;N;10
2;1;0;8;2;15;20;B;1;N;36
2;2;1;8;3;19;24;B;3;Y;43
2;1;4;7;0;13;24;B;1;N;30
1;2;5;8;0;4;26;W;3;N;29
2;2;7;10;3;43;26;B;3;Y;53
1;2;0;10;0;7;18;B;3;N;52
2;2;0;11;1;15;22;W;3;N;65
2;2;5;9;4;61;26;W;1;Y;4
2;2;0;12;2;28;30;B;3;Y;59
2;1;1;8;1;13;22;W;3;Y;37
2;1;7;9;3;35;40;W;3;Y;2
2;2;0;12;0;8;26;B;3;N;5
2;1;0;10;4;8;19;W;3;N;50
2;2;0;9;3;26;24;W;3;Y;56
2;1;7;10;4;44;33;B;1;Y;68
2;1;1;8;0;6;49;B;3;N;77
2;1;0;11;1;12;24;B;1;Y;9
2;2;2;8;1;8;35;B;3;Y;7
2;2;0;10;1;11;19;B;3;N;21
2;1;1;9;1;10;22;W;3;N;38
2;2;0;9;0;10;20;B;3;N;33
1;2;2;9;3;15;20;W;3;N;4
2;2;1;11;0;17;47;B;3;Y;2
1;1;0;9;0;3;22;W;3;N;31
2;2;0;9;0;7;19;W;3;N;11
1;2;2;9;7;23;26;W;1;Y;6
1;2;0;9;0;5;20;W;3;N;45
2;2;1;7;3;9;20;W;3;N;48
2;1;0;10;0;7;17;W;3;N;12
2;1;0;10;1;10;21;W;3;N;17
2;1;12;5;1;36;37;W;1;N;10
2;2;1;11;0;34;26;B;1;Y;16
2;1;0;10;1;6;21;W;3;N;17
2;2;3;8;0;17;28;B;1;Y;34
2;1;8;8;1;12;42;W;3;Y;35
2;2;2;10;1;15;27;B;2;N;2
1;2;0;11;0;6;28;B;3;Y;10
1;2;0;12;0;3;35;W;3;Y;70
1;1;0;12;0;15;26;W;3;N;24
1;2;0;11;0;20;31;B;1;Y;10
2;1;0;9;0;17;36;B;2;Y;20
2;2;2;9;10;40;26;W;3;N;15
1;2;0;10;0;9;18;W;1;N;55
2;2;4;9;4;103;25;B;1;N;3
1;2;14;5;0;10;38;W;3;Y;6
2;2;1;8;1;6;20;W;3;N;16
1;1;13;9;3;36;35;W;3;N;7
2;2;6;10;6;49;23;B;1;Y;18
1;2;4;10;0;6;23;W;3;N;23
2;2;3;12;2;25;28;B;3;N;3
2;2;7;15;3;11;46;W;3;N;66
2;1;0;9;7;25;21;W;3;N;26
2;2;0;8;1;11;20;B;3;N;59
2;2;0;9;2;36;22;B;1;Y;25
2;2;8;11;1;43;35;B;1;Y;41
2;2;20;10;2;56;49;W;1;N;6
1;1;3;14;1;11;64;B;3;N;15
2;2;3;6;0;4;32;W;2;N;66
2;2;1;10;1;46;21;B;1;N;5
1;1;3;10;3;46;21;B;2;Y;7
2;2;0;11;8;39;26;B;1;Y;14
2;2;1;9;0;10;33;B;3;Y;8
2;1;2;10;5;70;29;B;1;Y;10
2;2;2;12;2;13;24;W;3;Y;70
2;2;1;9;1;18;21;B;3;Y;2
2;2;0;10;0;5;21;W;3;N;11
2;2;3;12;0;7;22;B;3;N;51
1;2;2;4;0;6;53;W;3;Y;60
2;1;5;10;2;10;26;W;3;N;2
2;1;1;10;2;16;32;W;3;Y;50
2;2;3;10;1;26;23;B;3;Y;32
2;1;0;9;1;6;19;W;3;N;20
2;2;2;12;10;96;20;B;1;Y;8
2;1;1;11;3;19;24;B;3;Y;29
2;2;0;11;0;5;17;B;3;N;13
2;2;1;8;1;7;18;B;3;N;53
2;1;1;10;10;19;21;W;3;N;16
1;2;8;10;0;54;42;B;1;Y;12
1;1;0;14;1;8;30;W;3;Y;15
2;1;0;10;2;22;23;B;1;N;29
1;2;0;15;0;6;52;B;3;N;9
2;1;0;10;0;11;30;W;3;Y;6
2;2;0;10;2;53;21;B;3;Y;2
1;2;2;9;0;2;18;B;3;N;7
2;2;12;8;0;4;30;W;3;N;64
2;1;0;9;0;8;21;B;3;N;47
2;2;0;12;1;14;27;B;3;N;29
2;2;0;11;0;15;20;B;1;N;40
2;2;2;10;3;55;31;B;1;Y;9
2;2;0;9;0;5;18;W;3;N;15
1;2;9;12;0;6;48;W;3;N;23
1;2;2;12;0;11;31;W;3;N;2
2;1;0;11;1;18;27;W;1;Y;50
2;1;2;8;1;35;32;W;3;Y;13
1;2;3;8;0;7;25;W;3;Y;28
2;1;3;8;5;32;24;W;3;N;34
1;2;4;12;0;37;32;B;2;Y;23
2;2;4;9;2;54;31;B;1;Y;15
2;2;0;12;0;9;35;B;1;N;24
2;2;1;8;2;6;24;W;3;Y;63
2;2;0;11;0;8;20;B;3;N;19
2;2;0;8;3;43;20;W;1;Y;8
1;2;2;8;0;6;25;W;3;N;55
1;1;0;9;0;6;32;W;3;Y;14
2;1;4;10;5;50;25;B;3;N;21
2;2;0;8;3;30;20;W;1;N;13
1;1;1;9;0;75;30;W;2;Y;13
1;2;1;9;0;6;43;B;3;N;23
2;1;0;7;2;14;19;W;3;N;54
2;2;0;7;0;7;28;W;3;Y;21
2;2;0;9;0;5;20;W;3;Y;14
2;2;2;9;0;16;21;B;1;N;6
1;2;0;9;1;5;24;B;3;Y;18
1;2;3;7;0;4;28;W;3;Y;21
1;2;4;10;3;104;38;W;2;Y;6
2;2;0;9;1;7;17;W;1;N;17
1;1;0;10;0;6;19;B;3;N;19
2;2;0;12;1;19;21;B;1;Y;34
2;2;0;14;0;5;27;B;3;N;28
2;1;6;12;0;8;60;W;3;N;14
2;2;10;7;0;14;40;B;3;Y;3
2;2;0;11;0;17;20;B;3;N;13
2;1;2;8;0;47;20;B;3;Y;9
2;1;3;8;0;11;21;W;3;Y;56
2;2;0;11;0;6;20;B;3;N;2
2;1;0;10;15;146;27;B;2;Y;27
1;1;6;12;4;20;30;W;3;N;6
2;2;13;3;2;218;59;B;2;Y;18
1;2;2;12;5;100;32;B;3;Y;33
1;2;3;10;1;21;29;W;1;N;4
2;1;0;10;1;7;24;B;3;N;43
1;2;1;12;4;48;30;W;1;N;4
2;2;4;10;1;21;31;B;1;Y;26
2;2;0;8;1;7;18;B;3;N;27
2;2;0;11;0;7;26;B;3;N;37
2;1;4;9;1;33;25;B;1;Y;3
2;2;2;12;1;10;20;W;3;N;9
2;2;0;7;7;25;20;B;1;N;26
2;1;3;9;5;108;23;B;2;N;15
2;2;0;8;1;61;21;B;1;N;15
1;2;0;11;0;3;34;B;3;N;55
2;2;0;10;1;8;19;B;3;N;10
2;1;0;13;0;15;29;W;1;N;57
2;2;1;15;0;23;28;B;1;Y;16
2;2;2;12;2;14;24;B;3;N;3
2;2;2;12;0;2;37;B;3;N;15
2;2;0;10;6;48;22;B;1;Y;7
2;2;0;12;0;4;27;B;3;N;26
1;2;5;11;3;36;26;W;3;Y;25
1;2;16;3;0;4;49;B;3;Y;3
2;2;0;8;0;13;19;B;3;N;27
2;1;6;12;1;40;41;B;1;Y;49
2;2;0;10;1;7;22;B;3;N;13
2;2;0;9;3;25;21;W;1;N;15
2;2;0;12;3;21;22;B;3;Y;36
2;2;0;9;2;56;26;B;1;Y;41
2;1;2;11;2;35;30;B;1;Y;5
2;2;0;9;7;32;23;W;3;N;42
2;1;8;8;0;21;58;W;1;Y;20
2;2;6;7;2;44;32;W;3;N;23
2;2;0;12;1;6;25;W;3;N;19
2;2;1;10;0;37;24;B;1;Y;54
2;1;0;6;0;10;35;B;3;Y;68
2;1;0;14;0;16;23;W;3;Y;5
2;2;0;11;3;23;22;B;1;Y;12
2;2;2;9;4;78;21;B;2;Y;13
2;2;2;10;1;42;24;B;1;Y;50
2;2;3;9;0;12;30;B;3;N;22
2;1;13;6;6;64;36;W;1;Y;5
2;2;0;10;0;9;22;B;3;N;3
2;2;0;10;1;29;25;B;1;N;7
2;2;0;9;2;22;27;B;1;N;49
1;2;2;10;1;44;21;B;1;Y;13
2;1;0;10;6;8;19;W;3;N;1
1;2;1;12;1;17;27;B;3;Y;10
1;2;7;8;3;7;36;W;3;Y;39
1;2;3;11;2;19;21;B;1;N;5
2;2;7;9;7;45;28;B;3;N;15
1;2;1;9;0;4;34;W;3;Y;35
2;2;5;9;0;4;33;B;3;N;18
1;1;0;8;13;84;25;W;1;N;3
1;2;5;9;0;6;22;W;3;N;10
2;1;0;10;0;13;19;B;1;Y;53
2;2;0;11;0;8;19;B;3;Y;31
2;2;0;8;1;37;21;B;1;Y;27
2;2;0;12;0;6;23;B;3;N;23
2;2;0;12;2;10;23;W;3;Y;24
2;1;0;8;2;29;20;W;3;Y;5
1;2;0;8;0;3;37;W;3;Y;17
2;1;0;7;1;8;19;W;3;N;15
2;2;0;10;0;26;22;B;1;N;28
2;2;0;10;0;26;25;B;1;Y;8
2;2;0;10;0;21;40;B;2;Y;65
1;2;6;12;2;41;35;W;1;Y;1
2;2;0;8;3;19;21;W;1;Y;16
2;2;0;11;0;3;30;W;3;N;24
2;2;0;8;0;10;20;W;3;N;8
2;1;2;13;10;114;32;B;1;Y;9
2;2;1;9;0;25;27;W;3;Y;33
2;2;0;11;0;15;28;B;3;N;10
2;2;0;10;0;3;22;B;3;N;9
1;2;2;8;0;9;35;B;3;N;52
2;1;0;9;4;9;22;W;3;N;53
1;2;1;12;0;12;38;B;3;N;3
2;2;0;12;1;49;52;W;1;Y;20
2;2;9;11;2;11;34;B;3;Y;12
2;2;0;10;5;31;20;W;1;Y;9
2;2;0;13;2;5;28;W;3;Y;14
2;1;1;9;1;17;27;B;3;Y;6
2;2;4;6;0;6;40;B;1;Y;10
2;1;0;9;2;24;21;B;1;Y;39
2;2;2;14;1;20;33;B;1;N;68
2;2;0;9;0;3;17;B;3;N;4
1;1;2;9;1;9;22;W;3;N;24
1;2;1;12;0;5;30;W;3;Y;7
2;2;0;9;0;11;19;W;3;Y;4
2;2;7;12;5;20;21;B;1;Y;18
2;1;6;9;0;40;39;B;2;Y;10
2;1;3;9;2;30;23;W;3;Y;44
1;2;6;10;0;6;40;W;3;Y;14
2;1;2;7;0;11;21;B;3;Y;19
2;1;1;8;2;12;20;W;3;N;8
1;1;5;8;0;14;29;W;3;Y;3
2;2;1;12;0;12;29;B;1;N;5
2;2;0;11;0;3;19;B;3;N;5
2;2;0;8;3;32;24;B;2;Y;29
2;1;6;2;0;7;63;W;3;N;15
2;2;2;10;1;28;34;B;1;Y;46
1;2;21;7;1;7;29;W;3;Y;60
1;2;11;7;0;100;49;W;2;Y;62
2;2;2;10;1;13;26;B;3;N;1
2;2;2;12;1;57;30;B;1;N;19
2;2;3;11;0;34;31;B;3;Y;28
2;2;4;9;2;106;23;B;1;Y;9
2;2;1;8;0;7;20;B;3;N;10
2;1;0;12;1;34;31;B;3;Y;18
2;2;0;10;3;65;24;B;1;Y;9
2;2;0;10;0;19;23;W;3;Y;32
1;2;0;10;0;6;23;W;3;N;15
2;2;1;9;21;80;18;B;1;N;7
2;2;1;11;3;21;19;B;1;N;5
2;2;0;10;0;4;22;B;3;N;8
2;2;1;12;0;12;22;B;1;Y;63
2;2;1;12;1;6;28;B;3;Y;1
2;2;2;10;1;19;24;B;3;N;17
2;2;0;12;4;49;24;B;1;Y;10
2;2;0;12;5;18;26;B;3;N;10
2;2;4;12;2;35;35;B;1;Y;44
2;2;8;15;1;40;28;B;3;Y;5
2;2;1;11;2;67;25;B;1;Y;13
2;2;0;9;0;28;37;B;3;Y;9
1;2;0;11;0;12;21;B;3;N;18
1;2;10;11;0;5;33;B;3;N;11
2;2;0;9;0;27;25;W;1;Y;15
2;1;2;9;0;21;31;W;3;Y;23
2;2;0;11;4;15;20;B;3;N;22
2;2;0;10;0;4;27;B;3;N;25
2;1;23;1;1;12;55;B;3;Y;24
2;2;1;8;8;50;20;W;1;N;27
1;1;0;12;0;5;21;W;3;N;14
2;2;0;8;2;13;19;B;1;N;27
2;1;1;9;0;5;19;B;3;N;11
2;2;2;8;1;28;23;W;1;Y;74
2;2;1;7;0;6;56;W;3;N;37
2;2;0;9;2;61;21;W;3;N;18
2;2;0;14;0;22;28;B;3;Y;59
2;2;1;12;0;9;31;B;1;Y;47
2;2;0;11;7;51;24;B;1;N;6
2;1;2;8;1;51;29;W;3;Y;27
2;2;1;10;4;41;22;B;1;N;2
2;1;0;9;2;13;21;W;3;N;36
2;2;3;11;6;62;29;B;1;N;67
1;2;1;8;0;4;45;W;3;Y;46
1;2;2;12;1;4;31;B;3;Y;14
1;1;4;7;1;11;23;W;3;N;12
2;2;0;9;5;25;20;W;1;Y;18
2;2;4;11;3;42;22;B;1;Y;6
1;1;1;9;0;9;31;W;3;N;13
2;1;1;9;1;17;21;W;3;Y;22
2;2;0;9;0;10;19;W;3;N;9
2;2;0;7;0;10;31;W;3;Y;46
2;2;2;9;3;29;21;W;3;Y;21
1;2;0;8;0;3;28;B;3;N;53
1;2;0;10;7;29;32;B;3;Y;36
2;1;0;14;0;8;24;W;3;Y;36
1;2;9;9;0;27;33;B;1;Y;8
2;2;0;10;0;7;17;B;3;N;24
2;2;0;12;2;20;20;W;3;Y;10
2;2;0;10;1;5;19;B;3;N;10
1;2;0;11;0;4;63;W;3;N;12
1;2;0;8;0;6;54;B;3;N;11
2;2;3;8;5;101;36;W;2;Y;15
2;1;1;8;2;20;24;W;1;N;58
1;2;1;5;0;5;37;B;3;N;69
1;2;0;12;0;14;22;W;3;Y;4
1;2;0;9;0;24;28;B;1;N;6
2;1;4;9;9;39;23;B;3;N;8
1;1;3;10;1;12;27;B;3;N;66
2;2;0;10;0;3;18;W;3;N;25
2;2;0;12;0;16;31;B;2;Y;15
1;2;1;12;0;4;24;B;3;N;32
2;2;0;10;2;48;25;B;3;Y;7
1;1;0;7;0;4;20;W;3;N;19
1;1;9;9;1;5;31;W;3;N;7
2;2;0;11;0;3;19;B;3;N;12
2;1;0;9;4;23;25;B;3;Y;30
1;2;2;6;0;3;43;W;3;N;31
2;2;3;12;3;129;31;B;2;Y;26
2;2;0;10;0;36;24;B;1;Y;6
1;1;0;5;0;25;43;W;2;N;18
2;1;6;8;4;50;41;B;3;Y;13
2;2;2;9;7;83;20;B;1;N;14
2;2;3;8;9;91;21;B;3;N;4
1;2;0;8;0;5;31;W;3;N;2
2;1;9;8;1;33;45;W;3;Y;7
2;2;0;7;0;30;19;W;3;N;17
2;2;0;10;0;8;19;B;3;Y;25
2;1;0;11;2;51;28;W;1;Y;11
2;1;0;11;5;8;19;B;3;N;28
2;1;12;12;0;8;49;W;3;N;15
2;2;0;8;1;12;20;W;3;N;53
2;1;3;12;1;12;31;B;3;N;16
1;1;2;9;1;32;31;W;3;Y;2
2;2;1;9;10;50;21;B;1;Y;14
2;2;0;12;2;38;20;W;1;Y;11
2;1;8;10;2;43;33;W;1;Y;9
1;2;0;8;0;36;24;W;1;Y;21
2;2;1;8;0;8;21;B;3;N;41
2;2;1;12;0;42;29;B;1;Y;12
2;2;1;2;1;47;48;B;2;Y;25
2;2;1;12;1;15;21;B;1;N;31
1;2;1;9;3;18;24;W;3;Y;3
1;1;0;13;0;11;22;W;3;N;18
1;1;3;9;1;28;38;W;3;N;41
1;2;1;12;0;3;44;W;3;Y;21
2;1;2;9;5;61;20;W;1;N;9
1;2;6;11;0;30;29;B;1;Y;13
2;2;0;10;0;8;22;B;3;Y;41
2;2;7;4;0;33;41;B;1;Y;3
2;2;2;11;4;33;20;W;1;N;6
2;2;4;9;5;48;29;B;1;Y;51
2;2;0;11;1;6;23;B;3;N;44
2;2;2;9;0;89;23;B;1;N;10
2;2;1;12;6;37;24;B;3;Y;9
2;2;0;11;1;6;25;B;3;Y;57
2;2;5;15;0;41;26;B;1;Y;15
2;2;0;8;0;7;17;B;3;N;17
2;2;0;10;1;16;19;B;2;N;4
2;2;2;8;8;29;24;B;3;N;50
2;2;0;8;6;26;19;W;3;N;7
2;2;3;6;0;44;34;W;1;N;12
2;2;1;12;1;7;29;B;3;N;31
2;2;0;8;1;24;40;B;1;Y;7
2;1;1;8;1;19;20;B;1;N;12
2;2;1;15;1;6;23;B;3;Y;47
2;2;0;8;3;44;20;B;1;N;16
1;1;2;10;0;3;35;B;3;Y;42
2;2;0;6;0;6;19;W;3;Y;29
2;2;0;10;0;6;19;W;3;Y;45
2;2;0;9;2;34;24;W;3;Y;5
2;1;0;12;5;12;20;W;3;N;3
1;2;0;7;2;30;37;W;3;Y;0
2;2;0;12;0;19;26;B;1;Y;0
2;1;0;9;0;4;20;W;3;N;0
2;2;1;12;0;13;23;B;3;Y;0
1;2;0;12;2;28;27;B;3;N;0
2;2;2;10;3;34;26;B;1;Y;0
1;2;0;6;0;4;35;B;3;Y;0
2;2;0;11;0;9;43;B;3;Y;0
1;2;0;10;5;43;26;B;1;Y;0
1;2;2;11;0;7;27;B;3;N;0
2;2;0;8;0;10;24;B;3;N;0
2;2;0;11;4;29;24;W;1;N;0
1;2;0;14;1;25;39;W;3;Y;0
2;2;0;10;0;4;24;W;3;Y;0
1;2;0;16;1;7;43;W;3;Y;0
1;2;0;9;0;6;35;B;3;N;0
2;2;0;12;2;19;26;W;1;Y;0
2;2;0;12;0;19;28;B;3;Y;0
2;2;0;9;1;5;22;W;3;Y;0
1;1;8;7;1;32;37;B;2;N;0
1;2;1;12;0;6;38;W;3;Y;0
2;2;3;6;0;7;49;B;3;Y;0
2;2;1;11;0;7;25;W;3;Y;0
2;2;9;12;3;118;50;W;1;N;0
2;2;0;9;7;18;25;W;3;N;0
2;1;0;10;0;15;21;B;3;N;0
2;2;3;9;8;41;23;W;1;N;0
2;2;2;9;2;12;37;W;3;Y;0
1;2;9;5;0;5;31;W;3;Y;0
1;2;8;11;0;6;43;W;3;Y;0
2;2;3;10;2;7;23;W;3;N;0
2;1;2;10;6;25;24;W;3;N;0
1;2;0;11;0;3;24;W;3;N;0
2;1;1;9;0;5;38;B;3;Y;0
2;1;0;11;2;14;21;B;3;Y;0
2;1;2;11;0;12;36;B;3;Y;0
2;2;0;10;0;5;18;W;3;N;0
2;2;0;7;0;13;30;B;3;N;0
2;1;0;9;0;12;28;W;1;N;0
2;2;0;9;0;6;17;B;3;N;0
2;1;0;5;0;6;31;B;3;Y;0
2;1;1;9;1;6;19;W;3;N;0
2;2;3;9;0;27;33;W;2;Y;0
2;2;0;10;4;27;25;W;1;Y;0
2;2;3;12;0;4;21;B;3;N;0
2;1;0;9;0;7;18;W;3;N;0
2;1;0;5;0;13;56;B;2;N;0
2;2;0;9;0;4;21;B;3;N;0
2;2;1;12;4;8;33;B;3;N;0
2;1;4;11;0;6;30;W;3;Y;0
2;2;1;10;0;7;26;W;3;Y;0
1;2;0;11;2;30;30;B;1;Y;0
2;2;0;16;1;16;33;B;3;Y;0
2;2;0;11;2;14;19;W;3;N;0
1;2;0;12;0;31;23;W;3;N;0
2;2;0;6;0;13;61;B;2;N;0
1;2;0;12;0;6;31;B;3;N;0
1;2;0;4;0;5;38;W;3;N;0
2;2;2;7;1;63;47;W;2;Y;0
2;2;3;12;2;54;35;W;1;Y;0
2;2;1;12;0;16;28;B;1;Y;0
2;1;1;11;0;5;23;W;3;Y;0
2;2;0;12;0;6;25;W;3;Y;0
2;2;2;11;0;36;42;W;2;Y;0
2;2;1;5;0;7;33;W;3;Y;0
2;2;0;12;0;13;38;B;3;Y;0
1;2;0;5;0;7;74;W;3;N;0
2;1;0;9;1;11;24;W;1;Y;0
2;2;3;12;1;51;34;B;1;Y;0
