"female" "age" "coupon" "churn" "followtime"
"277" 0 35 0 0 146
"278" 0 20 0 0 309
"279" 0 38 0 0 102
"280" 0 54 0 0 6
"281" 0 52 0 0 280
"282" 0 43 1 1 65
"283" 0 33 0 0 114
"284" 0 47 0 0 18
"285" 0 63 0 0 346
"286" 0 39 0 0 159
"287" 0 55 0 1 100
"288" 0 65 0 0 289
"289" 0 81 0 0 9
"290" 0 72 0 0 283
"291" 1 51 0 0 271
"292" 0 29 1 0 304
"293" 0 85 1 0 185
"294" 1 34 0 0 267
"295" 0 33 0 1 49
"296" 1 39 0 0 169
"297" 0 23 0 0 23
"298" 1 50 1 0 255
"299" 0 78 0 0 355
"300" 0 57 0 1 140
"301" 0 25 0 0 180
"302" 0 74 1 0 216
"303" 1 35 0 0 275
"304" 0 34 0 0 109
"305" 0 58 0 0 164
"306" 1 20 0 0 7
"307" 1 38 0 0 220
"308" 1 42 0 0 29
"309" 0 81 0 0 199
"310" 0 25 0 0 250
"311" 0 44 0 0 32
"312" 0 43 0 1 117
"314" 0 82 0 0 270
"315" 0 18 1 0 26
"316" 1 35 0 0 75
"317" 0 63 0 0 233
"318" 0 24 0 0 175
"319" 0 75 0 1 181
"320" 0 85 1 0 298
"321" 0 71 0 0 364
"322" 0 48 0 0 41
"323" 0 57 1 0 217
"324" 0 82 0 0 262
"325" 0 62 0 0 91
"326" 0 33 0 0 183
"327" 1 61 0 1 53
"328" 0 78 0 0 113
"329" 0 33 0 0 22
"330" 0 20 1 0 102
"331" 0 57 0 0 227
"332" 0 78 0 0 45
"333" 0 51 0 1 82
"334" 0 17 0 0 62
"335" 1 76 0 0 311
"336" 0 57 0 0 309
"337" 0 24 0 0 34
"338" 0 76 1 0 24
"339" 0 83 0 0 251
"340" 0 22 0 0 263
"341" 0 37 0 0 52
"342" 0 70 0 0 50
"343" 0 73 0 0 140
"344" 0 65 0 0 314
"345" 0 46 0 0 28
"346" 0 45 0 0 29
"347" 0 19 0 1 227
"348" 0 45 0 0 62
"349" 0 76 0 1 120
"350" 1 16 0 0 81
"351" 0 30 1 0 76
"352" 0 13 0 0 340
"353" 1 38 0 1 5
"354" 1 24 0 0 10
"355" 0 66 1 0 90
"356" 0 61 1 0 361
"357" 0 54 0 0 198
"358" 0 77 0 0 69
"359" 0 55 0 0 93
"360" 1 75 0 0 145
"361" 1 76 0 0 98
"362" 0 78 0 0 169
"363" 0 62 0 0 163
"364" 0 61 0 0 81
"365" 1 33 1 1 160
"366" 0 23 1 0 137
"367" 0 64 0 0 309
"368" 0 66 0 0 188
"369" 0 76 0 0 39
"370" 0 40 1 0 252
"371" 0 28 0 0 328
"372" 0 82 0 0 265
"373" 0 56 0 0 109
"374" 0 73 0 0 183
"375" 0 15 0 1 21
"376" 1 47 0 0 24
"377" 0 85 0 0 83
"378" 1 24 0 0 142
"379" 0 82 0 0 107
"380" 0 49 0 0 54
"381" 1 64 0 0 288
"382" 0 83 1 1 127
"383" 0 54 1 0 93
"384" 0 32 1 1 24
"385" 0 33 0 0 322
"386" 0 53 0 0 76
"387" 0 73 1 1 127
"388" 0 43 0 0 115
"389" 0 22 0 0 32
"390" 0 83 0 0 212
"391" 0 52 0 0 54
"392" 0 54 0 0 278
"393" 0 30 1 0 156
"394" 0 75 0 0 21
"395" 0 43 1 0 337
"396" 0 80 0 0 105
"397" 0 49 1 0 74
"398" 0 41 1 0 77
"399" 0 42 0 0 17
"400" 1 21 0 1 84
"401" 0 69 0 0 260
"402" 0 57 1 0 133
"403" 0 74 0 0 178
"404" 0 54 0 0 135
"405" 0 20 0 1 290
"406" 0 70 0 0 237
"407" 0 15 0 0 230
"408" 0 60 0 0 13
"409" 0 20 0 0 32
"410" 0 28 0 0 143
"411" 0 30 0 1 239
"412" 1 68 0 0 302
"413" 0 75 1 1 169
"414" 0 73 0 0 214
"415" 0 45 0 0 128
"416" 1 35 0 0 27
"417" 1 63 0 0 12
"418" 0 25 0 0 131
"419" 1 18 1 0 162
"420" 0 82 1 0 355
"421" 0 83 0 0 355
"422" 0 71 1 1 108
"423" 0 40 0 0 238
"424" 0 46 0 0 251
"425" 0 66 0 0 282
"426" 0 53 0 0 335
"427" 1 59 0 0 338
"428" 0 56 1 1 3
"429" 0 20 0 0 332
"430" 0 31 0 0 244
"431" 0 34 1 0 266
"432" 1 26 1 0 125
"433" 0 40 0 0 93
"434" 0 57 0 1 32
"435" 1 75 0 0 203
"436" 1 28 1 0 95
"437" 0 69 0 0 277
"438" 0 76 0 0 155
"439" 0 77 0 0 211
"440" 0 75 0 0 13
"441" 1 39 0 1 16
"442" 1 30 0 0 330
"443" 0 46 0 0 230
"444" 0 56 0 0 97
"445" 0 19 0 0 54
"446" 0 84 0 0 269
"447" 0 24 0 0 8
"448" 1 78 0 0 159
"449" 0 76 0 0 233
"450" 0 76 0 1 226
"451" 0 64 0 0 29
"452" 0 27 1 0 100
"453" 0 49 0 0 270
"454" 0 27 0 0 355
"455" 1 33 0 0 341
"456" 0 31 0 0 87
"457" 0 79 0 0 139
"458" 0 81 0 1 3
"459" 0 33 0 0 13
"460" 0 72 1 1 171
"461" 1 14 0 0 257
"462" 1 66 0 0 115
"463" 1 71 0 0 178
"464" 0 48 0 0 295
"465" 0 14 0 0 85
"466" 0 74 0 0 209
"467" 0 22 0 0 189
"468" 0 27 0 0 108
"469" 0 18 0 1 330
"470" 0 58 0 0 205
"471" 1 84 0 0 61
"472" 0 46 0 0 273
"473" 0 59 1 0 230
"474" 0 14 0 0 6
"475" 1 44 0 0 34
"476" 0 51 0 0 356
"477" 0 50 0 0 131
"478" 0 38 0 0 251
"479" 1 38 0 0 38
"480" 0 43 0 1 29
"481" 0 20 0 1 81
"482" 0 33 1 0 354
"483" 0 77 0 0 70
"484" 0 27 0 0 49
"485" 0 34 0 0 44
"486" 0 51 0 1 123
"487" 0 26 1 0 271
"488" 0 51 1 0 234
"489" 0 39 0 0 206
"490" 0 14 1 1 65
"491" 0 38 1 0 4
"492" 0 25 0 0 280
"493" 0 41 0 0 69
"494" 1 77 0 0 327
"495" 0 67 0 0 106
"496" 0 31 0 0 311
"497" 0 68 0 1 138
"498" 0 49 0 0 141
"499" 1 38 0 0 193
"500" 1 33 0 0 106
"501" 0 82 0 0 267
"502" 0 75 0 0 42
"503" 1 85 0 0 136
"504" 0 40 0 0 49
"505" 0 23 0 0 112
"506" 1 55 0 0 123
"507" 0 43 0 0 116
"508" 1 46 1 0 141
"509" 1 13 0 0 234
"510" 0 42 0 0 274
"511" 0 61 1 0 149
"512" 0 65 0 1 194
"513" 0 20 0 0 229
"514" 0 85 0 0 165
"515" 0 62 0 1 33
"516" 1 18 0 0 35
"517" 0 42 0 1 228
"518" 0 38 0 1 174
"519" 0 37 0 0 190
"520" 0 42 0 0 274
"521" 0 64 1 0 36
"522" 0 85 1 0 97
"523" 0 51 1 1 26
"524" 0 13 0 0 363
"525" 0 36 0 0 26
"526" 1 39 0 0 161
"527" 0 54 0 0 79
"528" 0 68 0 0 1
"529" 1 61 0 0 17
"530" 0 85 1 0 222
"531" 0 79 0 0 326
"532" 0 77 0 0 230
"533" 1 70 0 1 123
"534" 0 47 0 0 259
"535" 0 72 0 0 148
"536" 0 31 0 0 82
"537" 0 72 1 1 34
"538" 0 83 0 0 347
"539" 0 30 0 1 227
"540" 0 30 1 0 19
"541" 1 40 0 0 172
"542" 0 46 0 0 220
"543" 0 32 0 0 327
"544" 0 47 0 0 107
"545" 0 18 1 0 177
"546" 0 34 0 0 84
"547" 0 62 0 0 235
"548" 0 45 0 0 243
"549" 0 74 1 0 69
"550" 0 69 0 0 165
"551" 0 84 0 0 126
"552" 0 56 0 0 262
"553" 0 83 1 0 225
"554" 0 56 1 0 30
"555" 1 18 0 0 252
"556" 0 43 1 0 168
"557" 1 37 0 0 105
"558" 0 85 0 0 204
"559" 0 21 0 0 357
"560" 0 41 0 0 230
"561" 0 61 1 1 2
"562" 0 40 0 0 20
"563" 0 53 0 0 245
"564" 0 67 0 0 17
"565" 0 48 0 0 20
"566" 1 49 0 0 13
"567" 0 63 1 0 334
"568" 1 71 0 0 182
"569" 0 22 0 0 26
"570" 0 23 0 1 92
"571" 0 21 0 0 132
"572" 0 48 0 0 208
"573" 0 38 0 0 33
"574" 0 65 1 0 277
"575" 0 80 0 0 181
"576" 0 61 0 0 46
"577" 0 53 0 0 189
"578" 1 22 0 0 177
"579" 0 17 0 0 52
"580" 0 45 0 1 202
"581" 0 76 0 0 194
"582" 1 19 0 0 86
"583" 0 14 0 0 206
"584" 0 70 0 0 36
"585" 0 65 0 0 110
"586" 0 34 0 0 300
"587" 0 75 0 0 245
"588" 1 25 0 1 256
"589" 0 16 0 0 202
"590" 1 81 0 0 195
"591" 0 69 0 0 79
"592" 1 35 0 1 286
"593" 0 19 0 0 226
"594" 0 81 0 0 268
"595" 1 19 0 0 345
"596" 0 78 0 0 27
"597" 0 75 1 0 193
"598" 1 80 0 0 24
"599" 1 61 0 0 156
"600" 0 18 0 1 96
"601" 0 31 0 0 33
"602" 0 80 0 0 24
"603" 0 85 0 0 18
"604" 0 78 0 0 120
"605" 0 23 0 0 109
"606" 0 24 0 0 133
"607" 0 27 0 0 246
"608" 0 80 0 0 120
"609" 0 39 0 0 288
"610" 0 37 0 0 246
"611" 0 52 0 0 218
"612" 0 49 1 0 134
"613" 1 63 0 0 1
"614" 0 37 0 0 281
"615" 0 54 0 0 292
"616" 0 80 0 0 322
"617" 0 19 0 1 6
"618" 1 44 0 0 18
"619" 0 84 1 0 54
"620" 0 36 0 0 142
"621" 0 49 0 0 204
"622" 0 84 1 0 113
"623" 0 72 0 0 341
"624" 0 69 0 1 72
"625" 0 56 0 0 244
"626" 0 18 0 0 271
"627" 0 84 0 0 157
"628" 0 85 0 0 286
"629" 0 80 0 0 27
"630" 0 31 0 0 157
"631" 0 83 0 0 196
"632" 0 68 0 1 66
"633" 1 21 0 0 1
"634" 0 81 0 0 201
"635" 1 25 0 0 337
"636" 0 57 0 0 147
"637" 0 58 0 0 1
"638" 0 53 0 0 173
"639" 1 51 1 1 25
"640" 0 54 0 1 48
"641" 0 20 0 1 25
"642" 0 52 0 0 203
"643" 0 75 1 1 19
"644" 0 25 0 0 117
"645" 0 33 1 0 313
"646" 0 47 0 0 19
"647" 0 53 0 0 126
"648" 0 13 0 0 199
"649" 0 50 0 0 196
"650" 1 52 0 0 71
"651" 1 51 1 0 191
"652" 0 16 1 0 24
"653" 0 69 0 0 59
"654" 1 46 0 0 144
"655" 0 33 0 0 337
"656" 0 37 0 0 66
"657" 0 29 1 0 258
"658" 1 72 0 0 163
"659" 0 70 0 1 99
"660" 0 44 0 0 158
"661" 0 16 0 0 57
"662" 0 76 0 0 86
"663" 1 36 0 0 26
"664" 0 70 0 0 200
"665" 0 30 0 0 95
"666" 1 73 1 0 59
"667" 0 64 0 0 244
"668" 0 38 0 0 110
"669" 0 24 0 0 363
"670" 0 13 0 0 253
"671" 0 85 0 0 298
"672" 1 56 0 0 48
"673" 0 41 1 0 146
"674" 0 56 1 1 13
"675" 1 64 1 0 14
"676" 0 42 0 0 363
"677" 0 63 0 0 211
"678" 1 29 1 0 355
"679" 0 26 1 0 118
"680" 0 50 1 0 240
"681" 0 48 0 0 208
"682" 1 85 0 0 65
"683" 0 45 0 1 68
"684" 1 52 0 0 38
"685" 0 71 0 0 166
"686" 0 26 0 0 65
"687" 0 79 0 0 250
"688" 0 58 0 0 301
"689" 1 60 0 0 250
"690" 0 64 1 0 137
"691" 0 23 0 0 282
"692" 0 19 0 0 254
"693" 1 13 1 0 300
"694" 0 28 0 1 64
"695" 0 35 0 0 48
"696" 0 19 0 0 356
"697" 1 38 0 0 84
"698" 1 74 0 0 129
"699" 1 39 1 0 63
"700" 0 61 0 0 335
"701" 0 72 0 0 70
"702" 0 73 0 0 99
"703" 1 45 0 0 218
"704" 1 15 0 0 259
"705" 0 55 1 0 67
"706" 0 23 0 0 158
"707" 0 53 0 0 150
"708" 1 60 0 0 118
"709" 0 17 0 0 276
"710" 0 33 0 1 24
"711" 0 85 0 0 322
"712" 0 15 0 0 70
"713" 1 76 0 1 9
"714" 0 27 0 0 329
"715" 0 64 0 0 84
"716" 1 79 1 0 302
"717" 0 76 0 0 220
"718" 0 67 0 0 161
"719" 0 63 0 0 309
"720" 1 59 0 0 132
"721" 1 31 0 0 251
"722" 0 24 0 1 73
"723" 0 41 0 0 161
"724" 0 59 0 0 244
"725" 0 49 0 0 96
"726" 0 80 0 0 197
"727" 0 40 0 0 132
"728" 0 26 0 1 221
"729" 0 59 0 0 342
"730" 0 17 0 0 124
"731" 1 25 0 1 44
"732" 0 65 0 0 290
"733" 0 25 0 0 149
"734" 0 76 1 1 10
"735" 0 27 0 0 313
"736" 0 48 1 0 47
"737" 0 28 1 1 187
"738" 0 26 0 0 56
"739" 0 19 0 1 285
"740" 1 76 0 0 214
"741" 0 75 0 1 251
"742" 0 56 0 0 123
"743" 1 16 0 0 174
"744" 0 49 0 0 1
"745" 0 58 0 0 103
"746" 0 54 0 0 126
"747" 0 48 1 0 42
"748" 0 63 0 0 82
"749" 0 20 1 0 40
"750" 0 82 0 0 31
"751" 1 29 0 0 115
"752" 0 52 0 0 71
"753" 1 20 1 0 319
"754" 0 76 1 0 58
"755" 0 13 1 0 38
"756" 0 60 0 0 335
"757" 0 20 0 0 113
"758" 0 34 1 1 23
"759" 1 47 0 0 165
"760" 0 39 0 0 278
"761" 1 57 0 0 287
"762" 1 45 0 0 253
"763" 0 59 0 0 123
"764" 0 33 0 0 75
"765" 0 30 0 0 268
"766" 0 31 0 0 358
"767" 0 75 0 0 291
"768" 0 40 0 0 64
"769" 1 57 0 1 290
"770" 0 15 0 0 48
"771" 0 38 0 0 256
"772" 0 66 0 0 206
"773" 0 46 1 0 274
"774" 1 26 0 0 247
"775" 0 56 0 0 8
"776" 0 30 0 1 137
"777" 0 19 0 0 284
"778" 0 56 0 1 62
"779" 0 37 1 0 162
"780" 0 20 0 0 32
"781" 1 47 0 0 6
"782" 0 20 0 0 260
"783" 0 43 0 0 60
"784" 0 45 0 0 152
"785" 0 22 0 0 97
"786" 0 42 0 0 60
"787" 0 18 0 0 225
"788" 0 22 0 0 275
"789" 0 53 0 0 279
"790" 0 25 0 0 88
"791" 0 69 0 0 218
"792" 1 60 1 1 1
"793" 0 41 0 1 56
"794" 0 57 1 0 361
"795" 1 66 0 1 29
"796" 1 62 1 0 315
"797" 0 73 1 0 162
"798" 0 59 0 0 55
"799" 0 73 0 0 96
"800" 1 25 0 0 230
"801" 0 80 0 0 154
"802" 0 78 0 0 86
"803" 0 21 0 1 15
"804" 0 31 0 0 63
"805" 1 41 1 1 184
"806" 0 20 0 0 344
"807" 0 25 1 1 8
"808" 0 85 0 0 63
"809" 0 76 0 0 246
"810" 1 29 0 0 195
"811" 0 44 0 0 342
"812" 0 43 0 0 56
"813" 0 21 1 0 306
"814" 1 22 0 1 206
"815" 0 57 0 0 146
"816" 0 23 1 0 14
"817" 0 25 0 0 212
"818" 0 84 0 0 188
"819" 0 65 0 0 42
"820" 0 70 0 0 236
"821" 0 57 1 0 321
"822" 0 42 0 0 84
"823" 0 21 0 0 61
"824" 0 55 0 0 74
"825" 1 52 1 1 28
"826" 0 17 0 0 250
"827" 0 81 0 0 27
"828" 0 38 1 0 227
"829" 1 41 0 0 313
"830" 0 38 0 0 115
"831" 0 82 1 0 196
"832" 0 65 0 0 248
"833" 0 62 1 0 178
"834" 1 16 0 0 93
"835" 0 75 0 0 94
"836" 1 51 0 0 22
"837" 0 48 0 0 2
"838" 0 18 0 0 3
"839" 1 36 0 0 201
"840" 0 33 0 0 320
"841" 0 77 0 0 19
"842" 0 70 0 0 38
"843" 0 70 0 0 7
"844" 0 34 0 0 225
"845" 0 64 0 0 162
"846" 0 48 0 0 324
"847" 0 63 0 0 155
"848" 0 48 1 0 223
"849" 0 81 0 0 169
"850" 0 35 0 0 288
"851" 0 22 0 0 16
"852" 0 36 1 0 52
"853" 1 73 0 0 190
"854" 0 53 0 0 184
"855" 0 58 0 0 211
"856" 1 32 1 0 334
"857" 0 56 0 0 34
"858" 1 16 0 0 86
"859" 1 32 0 0 300
"860" 0 58 0 0 230
"861" 0 44 0 0 101
"862" 1 85 0 0 140
"863" 1 67 0 0 132
"864" 0 75 0 0 282
"865" 1 48 0 0 361
"866" 0 35 0 0 76
"867" 0 24 0 0 147
"868" 1 48 1 0 25
"869" 0 50 0 0 249
"870" 0 36 0 0 240
"871" 0 34 0 0 235
"872" 0 73 0 0 252
"873" 0 79 0 0 66
"874" 0 31 0 0 17
"875" 0 65 1 0 285
"876" 0 13 0 0 321
"877" 0 25 0 0 315
"878" 0 73 0 0 23
"879" 1 56 0 1 181
"880" 0 83 1 0 261
"881" 0 34 0 0 79
"882" 0 42 0 0 361
"883" 0 85 0 0 104
"884" 0 59 0 0 322
"885" 0 56 0 0 261
"886" 0 13 0 1 84
"887" 1 48 1 0 172
"888" 0 68 0 0 312
"889" 0 73 0 0 359
"890" 0 14 0 0 61
"891" 1 54 0 0 168
"892" 0 42 0 0 224
"893" 0 70 0 0 360
"894" 0 27 0 0 2
"895" 0 68 0 0 204
"896" 0 30 1 0 280
"897" 0 79 0 0 348
"898" 0 23 0 0 60
"899" 0 38 0 0 12
"900" 0 74 0 0 276
"901" 0 41 0 0 138
"902" 0 32 0 0 316
"903" 0 43 0 0 77
"904" 0 19 0 0 203
"905" 0 68 0 0 149
"906" 0 62 1 0 315
"907" 0 14 0 0 37
"908" 0 73 0 0 104
"909" 1 80 1 0 292
"910" 0 27 0 0 50
"911" 0 42 0 0 109
"912" 1 13 0 0 119
"913" 0 53 0 0 260
"914" 0 74 0 0 51
"915" 0 31 0 0 167
"916" 0 83 0 0 209
"917" 0 70 0 0 165
"918" 0 35 0 0 213
"919" 0 13 0 0 161
"920" 0 77 1 1 3
"921" 0 42 0 0 218
"922" 0 38 0 0 222
"923" 0 33 1 1 131
"924" 1 78 0 0 273
"925" 0 65 0 0 144
"926" 0 76 0 1 270
"927" 0 14 0 0 9
"928" 1 75 0 0 261
"929" 0 74 0 0 312
"930" 0 49 0 0 240
"931" 0 80 0 0 228
"932" 0 43 1 0 196
"933" 0 62 0 1 24
"934" 0 62 0 0 335
"935" 0 29 0 0 304
"936" 0 41 0 0 72
"938" 1 49 0 0 161
"939" 1 49 0 0 185
"940" 0 85 0 0 209
"941" 0 24 0 0 16
"942" 0 83 0 0 33
"943" 0 39 1 0 195
"944" 0 75 0 1 176
"945" 1 53 0 0 36
"946" 0 73 0 0 96
"947" 0 66 1 0 101
"948" 1 19 0 1 18
"949" 0 66 0 0 239
"950" 0 55 0 0 167
"951" 0 46 0 0 256
"952" 0 51 0 0 38
"953" 1 69 0 0 214
"954" 1 57 0 0 43
"955" 0 40 0 1 53
"956" 0 58 0 0 54
"957" 0 70 0 0 224
"958" 1 80 0 1 162
"959" 1 28 0 0 134
"960" 0 33 0 0 321
"961" 1 29 0 0 78
"962" 0 58 0 0 25
"963" 0 71 1 0 303
"964" 0 35 0 0 10
"965" 0 28 1 0 262
"966" 1 30 0 0 170
"967" 0 83 1 0 303
"968" 0 27 0 0 322
"969" 0 57 1 0 266
"970" 0 19 0 0 318
"971" 0 63 1 0 266
"972" 0 70 1 0 169
"973" 0 18 0 0 250
"974" 0 40 0 0 34
"975" 0 19 0 0 298
"976" 0 28 0 0 122
"977" 0 51 0 0 98
"978" 0 46 0 0 68
"979" 0 83 0 1 36
"980" 1 77 1 0 342
"981" 0 63 0 0 19
"982" 1 51 0 0 40
"983" 0 14 0 0 203
"984" 1 77 0 1 200
"985" 0 58 0 0 350
"986" 0 35 0 0 324
"987" 0 73 0 0 335
"988" 0 49 0 0 233
"989" 0 20 0 0 244
"990" 0 79 0 0 232
"991" 0 59 0 0 49
"992" 0 47 1 1 40
"993" 0 19 1 0 105
"994" 0 64 1 1 16
"995" 0 81 1 0 26
"996" 0 66 0 0 101
"997" 0 49 1 0 141
"998" 0 63 0 0 170
"999" 1 40 0 1 13
